index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2004,IV Q 2005,II Q 2006,III Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),20666,8379,9077,16478,24239,18210,18516,17936,24352,17432,19167,28570,24334,23351,24241,34116,145113,65975,54815,48164,206374,95576,120632,154288,122899,56058,94588,112630,127450,60598,85749,107917,73216,67419,97229,129216,69047,51411,54658,53378,0,0,0,54732
Zysk (strata) z dzialal. oper. (tys. zl),-2706,-2366,1158,3045,8040,-68,-303,2130,2557,-850,-737,-5791,-67403,-5248,-5848,6781,-16199,-23346,-43640,-8853,10684,-8974,-7891,-3115,6278,-296,1807,1902,7850,-2394,2886,6548,1962,-346,2764,8392,2712,2139,2129,2265,0,0,0,2632
Zysk (strata) brutto (tys. zl),-2517,-2298,1213,-618,1604,25,-28,6834,2031,-921,-536,-5823,-83681,-5637,-6203,6437,-18018,-28082,-56358,-10230,8557,-11947,-10872,-9316,3484,-1755,970,-12,2698,-151,1803,5936,4118,4803,2303,7593,2479,2440,1445,1916,0,0,0,2251
Zysk (strata) netto (tys. zl),-1910,-2437,966,-611,1426,3172,-3011,6500,3314,-757,-726,-5265,-78617,-5952,-3831,6777,-20698,-25244,-71601,-8371,6516,-9860,-9006,-7852,4876,-1378,940,180,2253,-643,925,4506,4457,3088,1468,5136,2222,2293,1045,1515,0,0,0,1365
Amortyzacja (tys. zl),821,832,878,861,1060,928,830,903,1247,1108,1110,1107,2467,1866,1541,1607,3082,2872,2734,1733,3436,3622,3401,2376,2145,1879,2068,1965,1873,2150,2099,2191,1419,1542,1676,2168,696,875,918,1081,0,0,0,728
EBITDA (tys. zl),-1885,-1534,2036,3906,9100,860,527,3033,3804,258,373,-4684,-64936,-3382,-4307,8388,-13117,-20474,-40906,-7120,14120,-5352,-4490,-739,8423,1583,3875,3867,9723,-244,4985,8739,3381,1196,4440,10560,3408,3014,3047,3346,0,0,0,3360
Aktywa (tys. zl),113453,109943,108382,104900,131852,126583,126689,116661,142907,146125,142007,147260,200356,182839,160225,161443,335068,286720,241280,242563,367711,348580,354184,0,253919,251051,266385,0,286751,273932,291920,0,170964,177425,204900,0,101772,0,104097,0,68589,78330,86817,0
Kapital wlasny (tys. zl),-166926,-167925,-166856,-170345,-171227,-171289,-171108,-167196,-154174,-155084,-160626,-165892,-156259,-162808,-164306,-157508,29199,11137,-64321,-73095,83823,74300,62474,0,77003,77897,77630,0,87948,82883,86134,0,82724,85115,86631,0,24837,0,27827,0,16912,19735,20684,0
Liczba akcji (tys. szt.),"793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","793,450","618,450","618,450","618,450","793,450","618,450","618,450","618,450","618,450"
Zysk na akcje (zl),"-2,407","-3,071","1,217","-0,770","1,797","3,998","-3,795","8,192","4,177","-0,954","-0,915","-6,636","-99,082","-7,501","-4,828","8,541","-26,086","-31,815","-90,240","-10,550","8,212","-12,427","-11,350","-9,896","6,145","-1,737","1,185","0,227","2,839","-0,810","1,166","5,679","5,617","3,892","1,850","6,473","3,593","3,708","1,690","1,909","0,000","0,000","0,000","2,207"
Wartosc ksiegowa na akcje (zl),"-210,380","-211,639","-210,292","-214,689","-215,801","-215,879","-215,651","-210,720","-194,308","-195,455","-202,440","-209,077","-196,936","-205,190","-207,078","-198,510","36,800","14,036","-81,065","-92,123","105,644","93,642","78,737","0,000","97,048","98,175","97,839","0,000","110,843","104,459","108,556","0,000","104,259","107,272","109,183","0,000","40,160","0,000","44,995","0,000","27,346","31,910","33,445","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
