index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,I Q 2009,II Q 2009,III Q 2009,IV Q 2009,I Q 2008,II Q 2008,III Q 2008,IV Q 2008,I Q 2007,II Q 2007,III Q 2007,IV Q 2007,II Q 2006,III Q 2006,IV Q 2006,I Q 2007,I Q 2005,III Q 2005,IV Q 2005,I Q 2006,III Q 2003,III Q 2004
Przychody netto ze sprzedaÅ¼y (tys. zl),1580801,1089529,805631,665653,1632821,1402711,1157166,1171456,1487970,1323596,1197370,1291402,1147902,1131910,989212,1140091,1023304,787752,752163,827372,634585,540095,572061,669308,0,483246,487425,500645,656951,466297,430233,495539,701281,554863,582047,608405,940001,434528,422991,505177,298920,307628,412089,527912,0,293388,349947,480287,0,0
Zysk (strata) z dzialal. oper. (tys. zl),3143,2239,1595,-17752,26401,16301,6429,9143,24227,23467,21624,20838,23104,20320,18770,18734,20909,15085,14028,16047,14784,11260,11417,13740,0,10772,1033,7962,26628,12855,8169,11730,22816,10474,13785,-18055,12286,8033,10044,10215,2357,1694,3898,8388,0,-12239,2813,15637,0,0
Zysk (strata) brutto (tys. zl),712,28,-858,-18828,24547,14633,4297,7316,23120,22091,19845,19051,21247,18555,17327,17642,19619,13618,11952,14201,13678,10214,9981,12379,0,9875,8,6859,25417,12022,6895,10899,21457,8730,11315,-19610,11560,7356,9430,9612,1494,4150,3549,8011,0,-13330,1807,14017,0,0
Zysk (strata) netto (tys. zl),722,382,-174,-15471,21296,11917,4354,6239,19371,17322,15849,15455,16825,15027,13343,13867,14998,11109,9343,11042,10944,8505,8780,10126,0,8020,57,7267,21682,9580,5690,8378,13793,6517,8479,-18420,8870,5039,8115,5001,1462,2999,3214,5656,0,-13839,530,10887,0,0
Amortyzacja (tys. zl),3692,3645,2339,2944,2330,2522,3341,3643,2369,2328,2433,2455,2809,2285,2291,2356,2951,2954,2830,2768,2895,2887,2866,2764,0,2887,2978,2886,2306,2022,2466,0,2646,2308,4252,2076,138,2035,2115,2869,1509,1709,1537,1647,0,1636,1627,1709,0,0
EBITDA (tys. zl),6835,5884,3934,-14808,28731,18823,9770,12786,26596,25795,24057,23293,25913,22605,21061,21090,23860,18039,16858,18815,17679,14147,14283,16504,0,13659,4011,10848,28934,14877,10635,11730,25462,12782,18037,-15979,12424,10068,12159,13084,3866,3403,5435,10035,0,-10603,4440,17346,0,0
Aktywa (tys. zl),1361187,1298127,1005237,918560,1461814,1228119,1244570,1333396,1154240,1184763,1063843,1254889,901038,919653,888404,1071085,777092,688144,795229,826872,585027,610566,609686,0,549809,498058,528124,0,509667,0,457895,566904,614911,0,572898,676427,463239,0,405639,500882,0,320676,386010,0,292154,302954,351062,326518,149375,265153
Kapital wlasny (tys. zl),361149,365707,342037,327124,345067,361162,346043,353756,299153,315788,311642,326144,259586,272435,261193,276916,222417,235011,232749,242794,188772,197277,199000,0,176467,184492,170590,0,147242,0,157992,166146,157577,0,171395,152880,118342,0,137809,143359,0,118794,122818,0,69105,55915,56207,72729,56716,72085
Liczba akcji (tys. szt.),"16610,000","16957,000","16957,000","16957,000","16610,000","16610,000","16610,000","16610,000","16610,000","16610,000","16610,000","16610,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","16410,000","11910,000","16410,000","16410,000","16410,000","11910,000","11910,000","11910,000","11910,000","11910,000","11910,000"
Zysk na akcje (zl),"0,043","0,023","-0,010","-0,912","1,282","0,717","0,262","0,376","1,166","1,043","0,954","0,930","1,025","0,916","0,813","0,845","0,914","0,677","0,569","0,673","0,667","0,518","0,535","0,617","0,000","0,489","0,003","0,443","1,321","0,584","0,347","0,511","0,841","0,397","0,517","-1,122","0,541","0,307","0,495","0,305","0,123","0,183","0,196","0,345","0,000","-1,162","0,045","0,914","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"21,743","21,567","20,171","19,291","20,775","21,744","20,833","21,298","18,010","19,012","18,762","19,635","15,819","16,602","15,917","16,875","13,554","14,321","14,183","14,795","11,503","12,022","12,127","0,000","10,754","11,243","10,395","0,000","8,973","0,000","9,628","10,125","9,602","0,000","10,445","9,316","7,212","0,000","8,398","8,736","0,000","7,239","7,484","0,000","5,802","4,695","4,719","6,107","4,762","6,052"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
