index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2005,I Q 2006,II Q 2006,III Q 2006,IV Q 2004,I Q 2005,II Q 2005,III Q 2005,IV Q 2003,I Q 2004,II Q 2004,III Q 2004, Q 0000,IV Q 2002
Przychody netto ze sprzedaÅ¼y (tys. zl),5225771,3935947,4968969,5660039,6575803,5131486,6641754,5710431,7496846,7176973,7199283,7549828,8325766,7168698,6106166,7787455,8364428,7832342,8384112,8568780,5735448,6515227,6781383,7597501,4024518,3911603,4736015,5279738,3751126,2716635,3447868,4132020,3980451,3561473,4217918,4764221,3151500,2543895,3070689,3530088,2953606,2689646,3265058,3701848,2046802,1485839,2146042,3060058,0,1489623,1829207,2111787,2046802,0
Zysk (strata) z dzialal. oper. (tys. zl),-319428,137770,550563,431683,-1074907,267724,568664,-93562,-47174,17329,-414982,79552,151405,-26051,-100342,340167,190170,418986,-861431,603796,304749,537266,316953,88152,64809,132000,292359,332246,-652766,12673,158019,184292,174838,94699,381824,39181,78210,52929,250923,256470,137491,130704,334937,254495,181890,351522,111859,469035,0,119368,82893,228034,181890,0
Zysk (strata) brutto (tys. zl),-416573,185047,399938,495078,-1502649,-110008,596221,-264914,-30468,-21052,-505951,-94063,168062,-222268,-167221,385515,-35326,736998,-1287653,748934,245029,751567,316219,-436979,238069,815,-822577,1298672,-1084525,-778894,920994,729439,338847,350100,521159,-279941,127063,80907,303607,302629,178366,149849,364753,274218,215671,351629,109245,498409,0,102677,85004,284848,215671,0
Zysk (strata) netto (tys. zl),-391314,105971,225842,379931,-1276402,-101371,478615,-249193,-24380,-32367,-122519,-35038,233695,-147352,-126085,337232,93722,597050,-528865,625969,251328,636362,269944,-331400,227302,22867,-646008,1050993,-881958,-650123,744757,578825,244814,267916,396521,-237889,99460,56029,239530,229979,127264,102889,277918,199637,174579,-320614,85945,381296,0,80827,56148,231253,174579,0
Amortyzacja (tys. zl),174271,262511,259680,238000,218093,177847,186495,175955,162019,214305,172639,203904,172072,166835,158842,154784,168800,165268,164620,164505,116448,123545,149840,166423,82424,79779,91401,102273,78207,62370,67534,72465,78919,79611,78147,79047,73042,74989,75500,76816,67360,72014,75939,76361,50654,62190,66113,67952,0,45927,47252,48678,141,0
EBITDA (tys. zl),-145157,400281,810243,669683,-856814,445571,755159,82393,114845,231634,-242343,283456,323477,140784,58500,494951,358970,584254,-696811,768301,421197,660811,466793,254575,147233,211779,383760,434519,-574559,75043,225553,256757,253757,174310,459971,118228,151252,127918,326423,333286,204851,202718,410876,330856,232544,413712,177972,536987,0,165295,130145,276712,182031,0
Aktywa (tys. zl),19169332,18539706,19082750,19753356,18947157,18973616,19625644,18847571,20284754,19652644,19633563,19935116,20027565,19932149,20249853,19960958,20423220,20472360,19958981,20357887,17727364,19006553,19514000,20391006,15225952,15607605,17101991,0,12187558,13014219,14375190,0,9720384,10128706,10939042,0,7763542,8002735,8463660,0,6989609,7064444,7627156,0,4016784,5023266,6108216,0,2935638,0,3916971,0,4022527,2657571
Kapital wlasny (tys. zl),7712060,7948797,8016425,8517337,8258288,7878485,8418592,8181078,9189307,9137558,8997739,8721665,9065725,8749775,8566140,9102944,7781436,8629381,7868756,8742853,7498819,8303958,8595113,7828947,6809393,6705592,6218249,0,5389534,4864334,5508834,0,5816227,6080547,6475904,0,5095527,5283835,5348401,0,4553828,4657796,4936404,0,2642630,2619906,3778499,0,1525351,0,2236798,0,2642630,1261530
Liczba akcji (tys. szt.),"184873,362","184873,362","184873,362","184873,362","129873,362","184873,362","184873,362","184873,362","129873,362","129873,362","129873,362","129873,362","129873,362","129873,362","129873,362","129873,362","129873,362","129873,362","129873,362","129873,362","129873,362","129873,362","129873,362","129873,362","129873,362","129873,362","129873,362","129873,362","113700,000","113700,000","113700,000","129873,362","113700,000","113700,000","113700,000","113700,000","113700,000","113700,000","113700,000","113700,000","113700,000","113700,000","113700,000","113700,000","78700,000","78700,000","113700,000","113700,000","78700,000","78700,000","78700,000","78700,000","7870,000","78700,000"
Zysk na akcje (zl),"-2,117","0,573","1,222","2,055","-9,828","-0,548","2,589","-1,348","-0,188","-0,249","-0,943","-0,270","1,799","-1,135","-0,971","2,597","0,722","4,597","-4,072","4,820","1,935","4,900","2,079","-2,552","1,750","0,176","-4,974","8,092","-7,757","-5,718","6,550","4,457","2,153","2,356","3,487","-2,092","0,875","0,493","2,107","2,023","1,119","0,905","2,444","1,756","2,218","-4,074","0,756","3,354","0,000","1,027","0,713","2,938","22,183","0,000"
Wartosc ksiegowa na akcje (zl),"41,715","42,996","43,362","46,071","63,587","42,616","45,537","44,252","70,756","70,357","69,281","67,155","69,804","67,372","65,958","70,091","59,916","66,445","60,588","67,318","57,739","63,939","66,181","60,281","52,431","51,632","47,879","0,000","47,401","42,782","48,451","0,000","51,154","53,479","56,956","0,000","44,816","46,472","47,040","0,000","40,051","40,966","43,416","0,000","33,579","33,290","33,232","0,000","19,382","0,000","28,422","0,000","335,785","16,030"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
