index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,IV Q 2004,IV Q 2005
Przychody netto ze sprzedaÅ¼y (tys. zl),2658,3000,2991,3215,3103,2573,2592,2792,1934,2170,2406,2343,2505,2296,2126,1999,1952,2324,2237,2271,2051,1989,2142,2198,1661,1731,1691,1793,3294,2219,2129,1760,2748,3187,3454,3425,0,2522,2808,3208,0,0
Zysk (strata) z dzialal. oper. (tys. zl),48,411,331,503,389,-138,140,310,57,63,128,203,66,381,29,153,100,155,-26,58,14,118,14,352,-376,-157,-276,10,-1065,-1558,-362,-364,34,345,571,85,0,160,48,233,0,0
Zysk (strata) brutto (tys. zl),69,430,364,509,424,-158,158,325,66,87,148,226,98,422,76,159,130,169,12,73,31,141,33,390,-330,-124,-233,27,-882,-1416,-305,-352,28,336,662,206,0,159,48,238,0,0
Zysk (strata) netto (tys. zl),36,331,297,413,419,-147,146,268,67,80,141,223,132,415,59,147,145,188,21,74,21,162,29,356,-330,-125,-234,21,-764,-1524,-291,-356,-13,286,507,166,0,165,12,193,0,0
Amortyzacja (tys. zl),140,134,124,97,106,132,139,142,92,99,99,98,81,81,82,81,61,75,81,85,39,66,42,60,49,51,47,42,43,45,46,46,42,33,42,53,0,34,43,46,0,0
EBITDA (tys. zl),188,545,455,600,495,-6,279,452,149,162,227,301,147,462,111,234,161,230,55,143,53,184,56,412,-327,-106,-229,52,-1022,-1513,-316,-318,76,378,613,138,0,194,91,279,0,0
Aktywa (tys. zl),6577,7593,7269,7784,6879,7432,6797,7145,6106,6338,6328,6123,5840,6344,29260,6031,5574,6018,5606,5667,4606,4815,4934,5257,5117,4867,4682,4591,9499,7744,7408,5179,3161,4000,10153,10356,2161,3320,3310,3535,406,1396
Kapital wlasny (tys. zl),5158,6013,5604,6017,5354,5740,5379,5646,4928,5008,4713,4934,4435,4896,3532,4855,4305,4544,4230,4304,3610,3773,3808,4163,3893,3783,3565,3603,8074,6549,6271,4203,1753,2039,8668,8832,1398,1562,1574,1767,248,536
Liczba akcji (tys. szt.),"6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","6400,000","5000,000","5000,000","6400,000","6400,000","5000,000","5000,000","5000,000","5000,000","5000,000","5000,000"
Zysk na akcje (zl),"0,006","0,052","0,046","0,065","0,065","-0,023","0,023","0,042","0,010","0,013","0,022","0,035","0,021","0,065","0,009","0,023","0,023","0,029","0,003","0,012","0,003","0,025","0,005","0,056","-0,052","-0,020","-0,037","0,003","-0,119","-0,238","-0,045","-0,056","-0,003","0,057","0,079","0,026","0,000","0,033","0,002","0,039","0,000","0,000"
Wartosc ksiegowa na akcje (zl),"0,806","0,940","0,876","0,940","0,837","0,897","0,840","0,882","0,770","0,783","0,736","0,771","0,693","0,765","0,552","0,759","0,673","0,710","0,661","0,673","0,564","0,590","0,595","0,650","0,608","0,591","0,557","0,563","1,262","1,023","0,980","0,657","0,351","0,408","1,354","1,380","0,280","0,312","0,315","0,353","0,050","0,107"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
