index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012
Przychody netto ze sprzedaÅ¼y (tys. zl),12803,10541,12139,10530,9821,25263,31963,9924,0,5782,22051,16413,0
Zysk (strata) z dzialal. oper. (tys. zl),3423,5178,2465,5535,5597,21109,18275,5907,0,4026,19414,13772,0
Zysk (strata) brutto (tys. zl),2515,4328,851,4981,4116,20735,17411,4865,0,3088,17827,12280,0
Zysk (strata) netto (tys. zl),8777,4601,1632,4538,3601,20683,18883,4976,0,3092,17788,12357,0
Amortyzacja (tys. zl),19,9,11,10,9,12,12,18,0,0,0,7,0
EBITDA (tys. zl),3442,5187,2476,5545,5606,21121,18287,5925,0,4026,19414,13779,0
Aktywa (tys. zl),126396,131621,140908,103121,114558,136279,166068,130645,193331,195639,214148,121874,132956
Kapital wlasny (tys. zl),95373,100565,37607,42145,75217,97248,59273,64995,110321,40914,58709,71189,123236
Liczba akcji (tys. szt.),"3335,054","3335,054","3423,769","3423,769","3335,054","3335,054","3335,054","3335,054","3335,054","3335,054","3335,054","3335,054","3335,054"
Zysk na akcje (zl),"2,632","1,380","0,477","1,325","1,080","6,202","5,662","1,492","0,000","0,927","5,334","3,705","0,000"
Wartosc ksiegowa na akcje (zl),"28,597","30,154","10,984","12,310","22,553","29,159","17,773","19,488","33,079","12,268","17,604","21,346","36,952"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N
