index,IV Q 2015,I Q 2016,II Q 2016,III Q 2016,IV Q 2014,I Q 2015,II Q 2015,III Q 2015,IV Q 2013,I Q 2014,II Q 2014,III Q 2014,IV Q 2012,I Q 2013,II Q 2013,III Q 2013,IV Q 2011,I Q 2012,II Q 2012,III Q 2012,IV Q 2010,I Q 2011,II Q 2011,III Q 2011,IV Q 2009,I Q 2010,II Q 2010,III Q 2010,IV Q 2008,I Q 2009,II Q 2009,III Q 2009,IV Q 2007,I Q 2008,II Q 2008,III Q 2008,IV Q 2006,I Q 2007,II Q 2007,III Q 2007,I Q 2006,II Q 2006,III Q 2006
Przychody netto ze sprzedaÅ¼y (tys. zl),7386,6558,10073,12867,13484,6261,9778,9816,7406,7050,6287,10583,6536,6810,6790,6070,10541,4581,8047,10134,6949,4242,4900,6142,4529,3471,3966,5483,8719,5184,4536,4529,6968,4708,5161,7405,3600,2002,4982,6142,2054,3433,2126
Zysk (strata) z dzialal. oper. (tys. zl),388,211,70,860,774,198,-17,32,-447,309,82,422,232,-3,-231,103,513,29,374,412,410,-108,52,137,226,-151,-285,-34,145,592,-32,226,-1058,148,284,548,920,-181,350,98,-395,715,72
Zysk (strata) brutto (tys. zl),256,195,9,833,779,191,-62,71,-799,287,21,351,210,-77,-273,73,578,124,392,456,591,34,187,203,23,-131,-47,66,98,480,58,23,-1002,185,316,465,1107,-105,424,110,-385,704,87
Zysk (strata) netto (tys. zl),108,108,-39,657,576,126,-100,-19,-683,225,-23,130,157,-90,-292,15,626,29,344,354,425,8,90,181,-4,-131,-122,21,263,409,100,-4,-1000,146,184,346,897,-103,319,36,-389,640,73
Amortyzacja (tys. zl),123,232,223,230,251,199,205,207,252,265,281,281,288,305,304,303,196,333,314,321,274,343,268,403,314,314,306,319,183,231,224,223,167,151,169,161,56,136,86,177,46,0,104
EBITDA (tys. zl),511,443,293,1090,1025,397,188,239,-195,574,363,703,520,302,73,406,709,362,688,733,684,235,320,540,540,163,21,285,328,823,192,449,-891,299,453,709,976,-45,436,275,-349,715,176
Aktywa (tys. zl),24231,23460,26831,28794,28740,23551,25451,24970,21796,21892,23571,25366,26361,23207,23676,22690,26689,23186,24489,0,25296,22721,22529,0,28882,24051,24098,0,26797,24743,25503,0,25443,24056,0,0,21645,21081,0,0,4647,5364,0
Kapital wlasny (tys. zl),15559,15219,14525,15138,15693,15819,15447,15430,14876,15101,14987,15117,16784,17055,15893,15885,17047,17017,16793,0,16230,16450,16616,0,18373,18169,17555,0,17064,17473,16751,0,17473,17897,0,0,18226,18123,0,0,3409,4049,0
Liczba akcji (tys. szt.),"2735,500","2735,500","2735,500","2735,500","2735,500","2735,500","2735,500","2735,500","2735,500","2735,500","2735,500","2735,500","2735,500","2735,500","2735,500","2735,500","2735,500","2735,500","2735,500","2735,500","2686,000","2735,500","2735,500","2735,500","2686,000","2686,000","2686,000","2686,000","2686,000","2686,000","2686,000","2686,000","2686,000","2686,000","2686,000","2686,000","2686,000","2686,000","2686,000","2686,000","1486,000","1486,000","2686,000"
Zysk na akcje (zl),"0,039","0,039","-0,014","0,240","0,211","0,046","-0,037","-0,007","-0,250","0,082","-0,008","0,048","0,057","-0,033","-0,107","0,005","0,229","0,011","0,126","0,129","0,158","0,003","0,033","0,066","-0,001","-0,049","-0,045","0,008","0,098","0,152","0,037","-0,001","-0,372","0,054","0,069","0,129","0,334","-0,038","0,119","0,013","-0,262","0,431","0,027"
Wartosc ksiegowa na akcje (zl),"5,688","5,564","5,310","5,534","5,737","5,783","5,647","5,641","5,438","5,520","5,479","5,526","6,136","6,235","5,810","5,807","6,232","6,221","6,139","0,000","6,042","6,014","6,074","0,000","6,840","6,764","6,536","0,000","6,353","6,505","6,236","0,000","6,505","6,663","0,000","0,000","6,786","6,747","0,000","0,000","2,294","2,725","0,000"
Raport zbadany przez audytora,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
